iter	Logloss
174	0.1144437584
175	0.1144243389
176	0.1143922021
177	0.1143801356
178	0.1143551073
179	0.1143509698
180	0.1143509684
181	0.1143360151
182	0.1143084609
183	0.1143084585
184	0.1142920646
185	0.1142841408
186	0.1142841407
187	0.1142790145
188	0.1142633018
189	0.1142632984
190	0.1142430208
191	0.1142430188
192	0.1142430051
193	0.1142240205
194	0.1142203256
195	0.1142134039
196	0.1142133069
197	0.114211368
198	0.1142113419
199	0.1141954647
200	0.1141862522
201	0.1141675225
202	0.1141674214
203	0.1141495359
204	0.1141493711
205	0.1141452264
206	0.1141202266
207	0.1141201884
208	0.1140885153
209	0.1140755112
210	0.1140602574
211	0.1140395545
212	0.1140376008
213	0.1140375966
214	0.1140160823
215	0.1140092463
216	0.1139906002
217	0.1139899535
218	0.1139899118
219	0.1139899069
220	0.1139746384
221	0.1139472305
222	0.1139472236
223	0.1139440642
224	0.1139440642
225	0.1139418108
226	0.11394177
227	0.1139411227
228	0.1139411148
229	0.1139408813
230	0.1139265728
231	0.1139053313
232	0.1139053128
233	0.1138910395
234	0.1138806075
235	0.1138663967
236	0.1138592785
237	0.1138491141
238	0.1138344807
239	0.1138243584
240	0.113813893
241	0.1138138923
242	0.1138033786
243	0.1137946572
244	0.1137946508
245	0.1137851395
246	0.113781408
247	0.1137649511
248	0.1137649503
249	0.1137514854
250	0.1137514836
251	0.1137417675
252	0.1137301688
253	0.1137261282
254	0.1137179213
255	0.1137056705
256	0.1136847147
257	0.1136847039
258	0.1136846386
259	0.1136713848
260	0.1136601991
261	0.1136587609
262	0.1136528082
263	0.1136423264
264	0.1136337669
265	0.1136337562
266	0.1136337478
267	0.1136208078
268	0.1136207951
269	0.1135921983
270	0.1135801924
271	0.1135786207
272	0.1135594428
273	0.1135503888
274	0.1135377371
275	0.1135243358
276	0.1135077702
277	0.1135009626
278	0.1134949953
279	0.1134905579
280	0.1134817886
281	0.1134817349
282	0.1134697448
283	0.1134697432
284	0.1134633085
285	0.1134528838
286	0.1134252869
287	0.113415215
288	0.1134151861
289	0.1134145298
290	0.1133948507
291	0.1133922095
292	0.113392197
293	0.1133833034
294	0.1133832267
295	0.1133831855
296	0.1133817831
297	0.113368656
298	0.1133558112
299	0.1133547111
300	0.1133547015
301	0.1133544723
302	0.1133543895
303	0.1133543566
304	0.1133530611
305	0.1133527705
306	0.1133527578
307	0.1133418532
308	0.1133339203
309	0.1133233568
310	0.1132939664
311	0.1132813696
312	0.1132813665
313	0.113266204
314	0.1132566008
315	0.1132543118
316	0.1132425662
317	0.1132415108
318	0.1132286744
319	0.1132195935
320	0.1132137742
321	0.1132137191
322	0.1131991668
323	0.1131991426
324	0.11319335
325	0.1131805147
326	0.1131763008
327	0.1131762073
328	0.1131706701
329	0.1131603786
330	0.1131603471
331	0.1131414894
332	0.113126393
333	0.1131170245
334	0.1131168776
335	0.1131168606
336	0.1131053408
337	0.1131014093
338	0.1131014034
339	0.1130893544
340	0.1130839643
341	0.1130837992
342	0.1130748249
343	0.1130720651
344	0.113055337
345	0.1130401909
346	0.1130346715
347	0.1130346254
348	0.1130340219
349	0.1130233739
350	0.1130111168
351	0.1130110933
352	0.1130002691
353	0.1129867207
354	0.1129772171
355	0.1129666598
356	0.1129567803
357	0.1129553244
358	0.1129485259
359	0.1129484473
360	0.1129484444
361	0.1129484292
362	0.1129475462
363	0.1129340126
364	0.1129291408
365	0.1129291408
366	0.1129225285
367	0.1129103122
368	0.1129103075
369	0.1129102261
370	0.1128979935
371	0.1128979026
372	0.112893858
373	0.1128732789
374	0.1128732307
375	0.1128708041
376	0.112870731
377	0.1128706852
378	0.1128706126
379	0.1128706119
380	0.1128657108
381	0.1128655925
382	0.1128655588
383	0.1128654755
384	0.1128582525
385	0.1128581711
386	0.1128517825
387	0.1128452784
388	0.1128452393
389	0.1128297642
390	0.1128292309
391	0.1128292279
392	0.1128292249
393	0.1128291893
394	0.1128291829
395	0.1128233801
396	0.1128233779
397	0.1128233557
398	0.1128233029
399	0.1128232977
400	0.1128232236
401	0.112823121
402	0.1128111725
403	0.1128111475
404	0.1128111432
405	0.1128110837
406	0.1128110323
407	0.112810971
408	0.1128038272
409	0.11279937
410	0.1127892103
411	0.1127891845
412	0.1127780843
413	0.112773206
414	0.1127731775
415	0.1127731367
416	0.1127583959
417	0.1127580034
418	0.1127579594
419	0.112757949
420	0.1127572045
421	0.1127571901
422	0.1127475732
423	0.1127405519
424	0.1127332273
425	0.112721889
426	0.1127218607
427	0.1127218119
428	0.112719658
429	0.1127189519
430	0.1127189371
431	0.1127155827
432	0.1127023291
433	0.1126865232
434	0.1126864832
435	0.1126864216
436	0.1126863604
437	0.1126706181
438	0.112655579
439	0.1126528947
440	0.1126484993
441	0.112648483
442	0.112640252
443	0.112630987
444	0.1126306307
445	0.1126252726
446	0.1126252299
447	0.1126218386
448	0.1126180055
449	0.112610869
450	0.1126108568
451	0.1126106131
452	0.1126104358
453	0.112610341
454	0.1126103241
455	0.1126002453
456	0.1126002335
457	0.1126000439
458	0.1126000334
459	0.1125892533
460	0.1125876068
461	0.112587586
462	0.1125874083
463	0.1125724437
464	0.11257176
465	0.1125716622
466	0.1125716536
467	0.1125630726
468	0.1125630666
469	0.1125516427
470	0.1125405744
471	0.1125405542
472	0.1125405139
473	0.1125405077
474	0.1125376598
475	0.1125371886
476	0.1125286159
477	0.1125282199
478	0.1125281757
479	0.1125280762
480	0.1125275993
481	0.1125265417
482	0.1125265404
483	0.1125245732
484	0.1125237631
485	0.11252376
486	0.1125237143
487	0.1125237103
488	0.1125134995
489	0.1125068579
490	0.1125051128
491	0.1125051073
492	0.112496816
493	0.1124967783
494	0.1124877287
495	0.11248633
496	0.1124863051
497	0.1124859312
498	0.1124554068
499	0.1124191841
500	0.1123992493
501	0.1123956702
502	0.1123870683
503	0.1123804025
504	0.1123715879
505	0.1123709823
506	0.1123608032
507	0.1123582539
508	0.1123551489
509	0.1123522053
510	0.1123431662
511	0.112343144
512	0.1123431218
513	0.1123384062
514	0.1123383816
515	0.1123383757
516	0.1123383698
517	0.1123270458
518	0.1123243707
519	0.1123242855
520	0.1123176294
521	0.1123083071
522	0.1123015207
523	0.1122940681
524	0.1122940448
525	0.1122879225
526	0.1122866668
527	0.1122866517
528	0.1122865609
529	0.1122865221
530	0.1122864836
531	0.1122761273
532	0.1122761084
533	0.1122760859
534	0.1122742043
535	0.1122741968
536	0.1122741817
537	0.1122731494
538	0.1122709438
539	0.1122598917
540	0.112249722
541	0.1122497187
542	0.1122483564
543	0.1122483434
544	0.1122483382
545	0.1122401458
546	0.1122309606
547	0.1122219162
548	0.1122217653
549	0.1122217394
550	0.1122216978
551	0.1122215726
552	0.1122214462
553	0.1122136896
554	0.1122136698
555	0.1122068804
556	0.112199453
557	0.1121994517
558	0.1121830423
559	0.1121808423
560	0.1121808343
561	0.112177022
562	0.1121665847
563	0.112157811
564	0.1121458106
565	0.1121440858
566	0.1121354916
567	0.1121271975
568	0.1121226117
569	0.1121222818
570	0.1121101579
571	0.1121042797
572	0.1120945055
573	0.1120934721
574	0.1120856718
575	0.1120756227
576	0.1120684988
577	0.1120669095
578	0.112045518
579	0.1120455099
580	0.1120375251
581	0.1120338678
582	0.1120246248
583	0.1120156922
584	0.1120123592
585	0.1120097491
586	0.1120097404
587	0.1120097365
588	0.1119959055
589	0.1119956281
590	0.1119956054
591	0.1119955976
592	0.1119872474
593	0.1119851051
594	0.1119699834
595	0.1119510446
596	0.1119510179
597	0.1119439648
598	0.1119429512
599	0.1119415073
600	0.1119344145
601	0.1119242788
602	0.1119125933
603	0.1119096953
604	0.1119052827
605	0.111891319
606	0.1118794783
607	0.1118704872
608	0.1118589897
609	0.1118444708
610	0.1118382455
611	0.1118382046
612	0.1118248924
613	0.1118118675
614	0.1118024561
615	0.111802368
616	0.1118010406
617	0.1118010344
618	0.1118010001
619	0.1118009503
620	0.1117954881
621	0.1117954804
622	0.1117954757
623	0.1117954648
624	0.1117918877
625	0.1117918756
626	0.1117831676
627	0.111781455
628	0.1117814504
629	0.1117814316
630	0.1117797259
631	0.1117778389
632	0.1117654197
633	0.1117625753
634	0.1117464659
635	0.1117393418
636	0.1117346873
637	0.1117315046
638	0.1117229527
639	0.1117229449
640	0.1117199828
641	0.1117199242
642	0.1117126681
643	0.1117125795
644	0.1117112801
645	0.1117111491
646	0.1117009699
647	0.1116998007
648	0.1116917535
649	0.1116864018
650	0.1116863993
651	0.1116812099
652	0.1116756197
653	0.1116703008
654	0.1116691865
655	0.1116580167
656	0.1116579993
657	0.1116579006
658	0.1116411235
659	0.1116406242
660	0.1116309038
661	0.1116258409
662	0.1116258094
663	0.1116251359
664	0.1116238408
665	0.1116238298
666	0.1116238157
667	0.111621533
668	0.1116215251
669	0.1116145976
670	0.1116063463
671	0.1116063166
672	0.1115960855
673	0.111589776
674	0.1115845576
675	0.1115808009
676	0.1115790003
677	0.1115789949
678	0.1115714212
679	0.1115608869
680	0.1115604606
681	0.1115596233
682	0.111559605
683	0.1115525038
684	0.1115508242
685	0.111550739
686	0.111549742
687	0.1115439696
688	0.1115438971
689	0.1115356431
690	0.1115284124
691	0.1115191491
692	0.1115166971
693	0.1115095303
694	0.1114993346
695	0.1114935134
696	0.1114898782
697	0.1114773345
698	0.1114707729
699	0.1114707263
700	0.1114629112
701	0.1114529579
702	0.1114464862
703	0.1114345015
704	0.1114265219
705	0.1114181609
706	0.1114088987
707	0.111408868
708	0.1114021003
709	0.1114020367
710	0.1113977511
711	0.1113977313
712	0.1113976453
713	0.1113891734
714	0.111381696
715	0.1113769318
716	0.1113666129
717	0.1113633369
718	0.1113632737
719	0.1113577687
720	0.1113576569
721	0.1113491586
722	0.1113491319
723	0.1113483231
724	0.1113442681
725	0.1113442234
726	0.1113347958
727	0.1113301374
728	0.1113193531
729	0.1113131467
730	0.1113086253
731	0.1113016999
732	0.1112967761
733	0.1112907035
734	0.1112901195
735	0.1112820864
736	0.1112820699
737	0.111282069
738	0.1112772513
739	0.1112748814
740	0.1112748131
741	0.1112673535
742	0.1112583121
743	0.1112518723
744	0.1112482185
745	0.1112414743
746	0.1112399731
747	0.1112323985
748	0.1112295317
749	0.1112295209
750	0.1112295187
751	0.1112275382
752	0.1112273814
753	0.1112221339
754	0.1112143955
755	0.1112040986
756	0.111204086
757	0.1112007437
758	0.1111967377
759	0.1111909048
760	0.1111794129
761	0.1111793971
762	0.1111793938
763	0.1111793816
764	0.1111793631
765	0.1111792387
766	0.1111787897
767	0.1111686624
768	0.1111685876
769	0.1111685191
770	0.1111684937
771	0.1111684552
772	0.1111677907
773	0.1111676066
774	0.1111606469
775	0.1111604313
776	0.1111604152
777	0.1111604004
778	0.1111505084
779	0.1111416011
780	0.1111371031
781	0.1111288708
782	0.1111288411
783	0.1111244449
784	0.1111244412
785	0.1111230836
786	0.1111230602
787	0.1111215613
788	0.1111214941
789	0.1111155036
790	0.1111063262
791	0.1110993663
792	0.1110989244
793	0.1110986677
794	0.1110909427
795	0.1110907503
796	0.1110772299
797	0.1110768137
798	0.1110717917
799	0.1110662473
800	0.1110582401
801	0.1110580015
802	0.1110578031
803	0.1110577627
804	0.1110515172
805	0.1110465205
806	0.1110407472
807	0.111040606
808	0.111037232
809	0.1110261082
810	0.1110099384
811	0.11100469
812	0.1109998077
813	0.1109911706
814	0.1109801623
815	0.1109801383
816	0.1109651727
817	0.1109556749
818	0.1109547864
819	0.1109393699
820	0.1109327102
821	0.110920988
822	0.1109154783
823	0.1109153122
824	0.1109153118
825	0.1109153031
826	0.1109152918
827	0.110908884
828	0.1109012883
829	0.1108963876
830	0.110896322
831	0.1108956867
832	0.1108956686
833	0.1108819515
834	0.1108819368
835	0.1108817129
836	0.1108759613
837	0.1108759442
838	0.1108749933
839	0.110867599
840	0.110858968
841	0.1108575306
842	0.1108575187
843	0.1108538948
844	0.1108439623
845	0.1108369153
846	0.1108369053
847	0.1108311883
848	0.1108311164
849	0.1108311132
850	0.1108310865
851	0.1108310549
852	0.110828585
853	0.1108054558
854	0.1108016408
855	0.1107784467
856	0.1107784172
857	0.1107767976
858	0.1107763851
859	0.1107730702
860	0.1107613404
861	0.1107521455
862	0.1107482099
863	0.1107481592
864	0.1107472845
865	0.1107469574
866	0.1107452276
867	0.1107452119
868	0.1107451908
869	0.1107415615
870	0.1107414318
871	0.1107336573
872	0.110733643
873	0.1107330426
874	0.110733011
875	0.110731492
876	0.1107250756
877	0.110715879
878	0.1107158718
879	0.1107158644
880	0.1107080398
881	0.1107031071
882	0.1106925361
883	0.1106925084
884	0.1106924554
885	0.1106858731
886	0.1106855336
887	0.110678226
888	0.1106732334
889	0.1106702272
890	0.1106680459
891	0.1106580164
892	0.110658009
893	0.1106578148
894	0.1106578126
895	0.1106577048
896	0.1106575396
897	0.1106570537
898	0.1106570301
899	0.1106570228
900	0.1106525151
901	0.1106477242
902	0.110647692
903	0.1106476503
904	0.1106430639
905	0.1106396046
906	0.1106390494
907	0.1106390376
908	0.1106299896
909	0.1106295121
910	0.1106205986
911	0.1106205535
912	0.1106204882
913	0.1106149139
914	0.1106061338
915	0.1105961147
916	0.1105903286
917	0.1105903145
918	0.1105902567
919	0.1105783803
920	0.1105761122
921	0.1105760292
922	0.1105700363
923	0.1105700091
924	0.1105687
925	0.1105686901
926	0.1105686638
927	0.110568661
928	0.1105686517
929	0.1105685873
930	0.1105683786
931	0.1105683659
932	0.1105638804
933	0.1105552606
934	0.1105550367
935	0.1105549924
936	0.110554942
937	0.1105456562
938	0.1105442942
939	0.1105408844
940	0.1105408274
941	0.1105379978
942	0.1105379189
943	0.1105377901
944	0.1105377127
945	0.1105377058
946	0.110537699
947	0.1105374209
948	0.1105372244
949	0.1105372052
950	0.1105371125
951	0.1105370841
952	0.1105370775
953	0.1105370603
954	0.1105370472
955	0.1105370423
956	0.110536976
957	0.1105369641
958	0.11053696
959	0.1105369419
960	0.1105369298
961	0.1105369287
962	0.1105331847
963	0.1105324359
964	0.1105222861
965	0.110521438
966	0.1105097628
967	0.1105005948
968	0.1105005412
969	0.1105005383
970	0.1105004716
971	0.1104915671
972	0.110487466
973	0.1104874195
974	0.1104808769
975	0.110475615
976	0.1104756068
977	0.1104755963
978	0.1104754997
979	0.110475496
980	0.1104754283
981	0.1104754239
982	0.1104722021
983	0.1104635705
984	0.1104635598
985	0.1104635591
986	0.1104579864
987	0.1104579748
988	0.1104579447
989	0.1104578297
990	0.110457824
991	0.1104554373
992	0.1104535558
993	0.1104535368
994	0.1104535178
995	0.1104514097
996	0.110451369
997	0.1104513442
998	0.1104513432
999	0.1104510514
